Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
1;Precious Achiuwa;C;23;28;55;12;20.srp;3.lip;7.ožu;0.485;0.5;2;0.269;3;5.tra;0.564;0.521;1.lip;2.ožu;0.702;1.kol;4.sij;6;0.9;0.6;0.5;1.sij;1.ruj;9.vlj
2;Steven Adams;C;29;15;42;42;27;3.srp;6.ožu;0.597;0;0;0;3.srp;6.vlj;0.599;0.597;1.sij;3.sij;0.364;5.sij;6.svi;11.svi;2.ožu;0.9;1.sij;1.ruj;2.ožu;8.lip
3;Bam Adebayo;C;25;16;75;75;34.6;8;14.ruj;0.54;0;0.2;0.083;8;14.srp;0.545;0.541;4.ožu;5.tra;0.806;2.svi;6.srp;9.vlj;3.vlj;1.vlj;0.8;2.svi;2.kol;20.tra
4;Ochai Agbaji;SG;22;29;59;22;20.svi;2.kol;6.svi;0.427;1.tra;3.ruj;0.355;1.tra;2.srp;0.532;0.532;0.9;1.vlj;0.812;0.7;1.ožu;2.sij;1.sij;0.3;0.3;0.7;1.srp;7.ruj
5;Santi Aldama;PF;22;15;77;20;21.kol;3.vlj;6.kol;0.47;1.vlj;3.svi;0.353;2;3.tra;0.591;0.56;1.tra;1.ruj;0.75;1.sij;3.srp;4.kol;1.ožu;0.6;0.6;0.8;1.ruj;9
6;Nickeil Alexander-Walker;SG;24;0;59;3;15;2.vlj;5;0.444;1;2.srp;0.384;1.vlj;2.ožu;0.515;0.547;0.7;1;0.667;0.3;1.svi;1.srp;1.kol;0.5;0.4;0.9;1.svi;6.vlj
6;Nickeil Alexander-Walker;SG;24;29;36;3;14.srp;2.ožu;4.srp;0.488;1;2.tra;0.402;1.ožu;2.ožu;0.578;0.591;0.8;1.sij;0.692;0.2;1.tra;1.lip;2.sij;0.7;0.4;1.ožu;1.lip;6.ožu
6;Nickeil Alexander-Walker;SG;24;18;23;0;15.svi;2.sij;5.tra;0.384;1.sij;3.sij;0.361;1;2.ožu;0.415;0.488;0.6;0.9;0.619;0.3;1.svi;1.kol;1.tra;0.3;0.3;0.4;1.ožu;5.ruj
7;Grayson Allen;SG;27;17;72;70;27.tra;3.tra;7.srp;0.44;2;5.sij;0.399;1.tra;2.srp;0.518;0.571;1.lip;1.kol;0.905;0.8;2.tra;3.ožu;2.ožu;0.9;0.2;1;1.lip;10.tra
8;Jarrett Allen;C;24;6;68;68;32.6;5.ruj;9.vlj;0.644;0;0.1;0.1;5.ruj;9.sij;0.653;0.645;2.tra;3.ožu;0.733;3.ožu;6.svi;9.kol;1.srp;0.8;1.vlj;1.tra;2.ožu;14.ožu
9;Jose Alvarado;PG;24;19;61;10;21.svi;3.ožu;8;0.411;1.tra;4;0.336;1.ruj;4;0.488;0.496;1.sij;1.ožu;0.813;0.5;1.ruj;2.ožu;3;1.sij;0.2;1.ožu;2;9
10;Kyle Anderson;PF;29;18;69;46;28.tra;3.srp;7.vlj;0.509;0.6;1.svi;0.41;3;5.srp;0.536;0.553;1.tra;2;0.735;1;4.tra;5.ožu;4.ruj;1.sij;0.9;1.svi;2.sij;9.tra
11;Giannis Antetokounmpo;PF;28;17;63;63;32.1;11.vlj;20.ožu;0.553;0.7;2.srp;0.275;10.svi;17.lip;0.596;0.572;7.ruj;12.ožu;0.645;2.vlj;9.lip;11.kol;5.srp;0.8;0.8;3.ruj;3.sij;31.sij
12;Thanasis Antetokounmpo;SF;30;17;37;0;5.lip;0.5;1.vlj;0.435;0;0.2;0;0.5;1;0.526;0.435;0.3;0.6;0.5;0.4;0.8;1.vlj;0.4;0.1;0.1;0.3;0.6;1.tra
13;Cole Anthony;PG;22;22;60;4;25.ruj;4.lip;10.vlj;0.454;1.ožu;3.tra;0.364;3.tra;6.srp;0.5;0.516;2.svi;2.kol;0.894;0.8;4;4.kol;3.ruj;0.6;0.5;1.svi;2.lip;13
14;OG Anunoby;SF;25;28;67;67;35.6;6.ožu;13.vlj;0.476;2.sij;5.svi;0.387;4.vlj;7.srp;0.539;0.556;2.sij;2.svi;0.838;1.tra;3.svi;5;2;1.ruj;0.7;2;3;16.kol
15;Ryan Arcidiacono;PG;28;0;20;4;8.lip;0.5;1.ruj;0.243;0.4;1.vlj;0.348;0.1;0.7;0.071;0.351;0;0;0;0;0.8;0.8;1.vlj;0.3;0;0.4;0.9;1.ožu
15;Ryan Arcidiacono;PG;28;20;11;0;2.tra;0.1;0.5;0.2;0.1;0.3;0.333;0;0.2;0;0.3;0;0;0;0;0.4;0.4;0.2;0.2;0;0.1;0.3;0.3
15;Ryan Arcidiacono;PG;28;25;9;4;16.vlj;0.9;3.lip;0.25;0.8;2.vlj;0.35;0.1;1.ožu;0.083;0.359;0;0;0;0;1.vlj;1.vlj;2.ožu;0.3;0;0.7;1.lip;2.lip
16;Deni Avdija;SF;22;30;76;40;26.lip;3.ožu;7.lip;0.437;0.9;3.sij;0.297;2.tra;4.lip;0.53;0.497;1.lip;2.vlj;0.739;1;5.tra;6.tra;2.kol;0.9;0.4;1.lip;2.kol;9.vlj
17;Deandre Ayton;C;24;24;67;67;30.tra;7.kol;13.vlj;0.589;0.1;0.4;0.292;7.srp;12.ruj;0.597;0.592;2.ožu;3;0.76;2.lip;7.tra;10;1.srp;0.6;0.8;1.kol;2.kol;18
18;Udoka Azubuike;C;23;29;36;4;10;1.lip;2;0.819;0;0;0;1.lip;2;0.819;0.819;0.2;0.6;0.35;0.9;2.tra;3.ožu;0.3;0.2;0.4;0.5;0.9;3.svi
19;Marvin Bagley III;C;23;9;42;25;23.lip;4.kol;9.sij;0.529;0.5;1.lip;0.288;4.tra;7.svi;0.579;0.554;1.ruj;2.lip;0.75;2.vlj;4.vlj;6.tra;0.9;0.5;0.7;1.sij;1.ruj;12
20;Patrick Baldwin Jr.;SF;20;10;31;0;7.ožu;1.tra;3.svi;0.394;1;2.srp;0.381;0.4;0.8;0.44;0.541;0.1;0.2;0.667;0;1.ožu;1.ožu;0.4;0.2;0.1;0.4;0.5;3.ruj
21;LaMelo Ball;PG;21;4;36;36;35.2;8.vlj;20;0.411;4;10.lip;0.376;4.vlj;9.tra;0.45;0.51;2.kol;3.tra;0.836;1.vlj;5.ožu;6.tra;8.tra;1.ožu;0.3;3.lip;3.ožu;23.ožu
22;Mo Bamba;C;24;0;49;7;15.srp;2.tra;4.ruj;0.485;1;2.svi;0.387;1.tra;2.tra;0.59;0.585;0.8;1.ožu;0.661;1.vlj;3.tra;4.lip;0.9;0.3;0.9;0.6;2.sij;6.lip
22;Mo Bamba;C;24;22;40;6;17;2.srp;5.tra;0.495;1.sij;2.srp;0.398;1.lip;2.srp;0.594;0.596;0.9;1.ožu;0.686;1.vlj;3.tra;4.lip;1.sij;0.3;1;0.6;2.vlj;7.ožu
22;Mo Bamba;C;24;14;9;1;9.kol;1.vlj;3;0.407;0.6;1.kol;0.313;0.7;1.vlj;0.545;0.5;0.7;1.vlj;0.545;1.vlj;3.ožu;4.lip;0.4;0.1;0.6;0.9;2.sij;3.srp
