Rk;Player;Pos;Age;Tm;
1;Precious Achiuwa;C;23;28;
2;Steven Adams;C;29;15;
3;Bam Adebayo;C;25;16;
4;Ochai Agbaji;SG;22;29;
5;Santi Aldama;PF;22;15;
6;Nickeil Alexander-Walker;SG;24;0;
6;Nickeil Alexander-Walker;SG;24;29;
6;Nickeil Alexander-Walker;SG;24;18;
7;Grayson Allen;SG;27;17;
8;Jarrett Allen;C;24;6;
9;Jose Alvarado;PG;24;19;
10;Kyle Anderson;PF;29;18;
11;Giannis Antetokounmpo;PF;28;17;
12;Thanasis Antetokounmpo;SF;30;17;
13;Cole Anthony;PG;22;22;
14;OG Anunoby;SF;25;28;
15;Ryan Arcidiacono;PG;28;0;
15;Ryan Arcidiacono;PG;28;20;
15;Ryan Arcidiacono;PG;28;25;
16;Deni Avdija;SF;22;30;
17;Deandre Ayton;C;24;24;
18;Udoka Azubuike;C;23;29;
19;Marvin Bagley III;C;23;9;
20;Patrick Baldwin Jr.;SF;20;10;
21;LaMelo Ball;PG;21;4;
22;Mo Bamba;C;24;0;
22;Mo Bamba;C;24;22;
22;Mo Bamba;C;24;14;
23;Paolo Banchero;PF;20;22;
24;Desmond Bane;SG;24;15;
25;Dalano Banton;PG;23;28;
26;Dominick Barlow;SF;19;27;
27;Harrison Barnes;PF;30;26;
28;Scottie Barnes;PF;21;28;
29;RJ Barrett;SG;22;20;
30;Will Barton;SG;32;0;
30;Will Barton;SG;32;30;
30;Will Barton;SG;32;28;
31;Charles Bassey;C;22;27;
32;Keita Bates-Diop;SF;27;27;
33;Nicolas Batum;PF;34;13;
34;Darius Bazley;PF;22;0;
34;Darius Bazley;PF;22;21;
34;Darius Bazley;PF;22;24;
35;Bradley Beal;SG;29;30;
36;Malik Beasley;SG;26;0;
36;Malik Beasley;SG;26;29;
36;Malik Beasley;SG;26;14;
37;MarJon Beauchamp;SF;22;17;
38;D?vis Bert?ns;PF;30;7;
39;Patrick Beverley;PG;34;0;
39;Patrick Beverley;PG;34;14;
39;Patrick Beverley;PG;34;5;
40;Saddiq Bey;SF;23;0;
40;Saddiq Bey;SF;23;9;
40;Saddiq Bey;SF;23;1;
41;Khem Birch;C;30;28;
42;Goga Bitadze;C;23;0;
42;Goga Bitadze;C;23;12;
42;Goga Bitadze;C;23;22;
43;Bismack Biyombo;C;30;24;
44;Buddy Boeheim;PG;23;9;
45;Bogdan Bogdanovi?;SG;30;1;
46;Bojan Bogdanovi?;PF;33;9;
