Team,Conference,Division
Atlanta Hawks,Eastern,Southeast
Boston Celtics,Eastern,Atlantic
Brooklyn Nets,Eastern,Atlantic
Charlotte Hornets,Eastern,Southeast
Chicago Bulls,Eastern,Central
Cleveland Cavaliers,Eastern,Central
Dallas Mavericks,Western,Southwest
Denver Nuggets,Western,Northwest
Detroit Pistons,Eastern,Central
Golden State Warriors,Western,Pacific
Houston Rockets,Western,Southwest
Indiana Pacers,Eastern,Central
Los Angeles Clippers,Western,Pacific
Los Angeles Lakers,Western,Pacific
Memphis Grizzlies,Western,Southwest
Miami Heat,Eastern,Southeast
Milwaukee Bucks,Eastern,Central
Minnesota Timberwolves,Western,Northwest
New Orleans Pelicans,Western,Southwest
New York Knicks,Eastern,Atlantic
Oklahoma City Thunder,Western,Northwest
Orlando Magic,Eastern,Southeast
Philadelphia Sixers,Eastern,Atlantic
Phoenix Suns,Western,Pacific
Portland Trail Blazers,Western,Northwest
Sacramento Kings,Western,Pacific
San Antonio Spurs,Western,Southwest
Toronto Raptors,Eastern,Atlantic
Utah Jazz,Western,Northwest
Washington Wizards,Eastern,Southeast
