firstName,lastName,personId,playerteamCity,playerteamName
Mike,Conley,201144,Minnesota,Timberwolves
Gorgui,Dieng,203476,San Antonio,Spurs
Rudy,Gobert,203497,Minnesota,Timberwolves
Doug,McDermott,203926,San Antonio,Spurs
Kyle,Anderson,203937,Minnesota,Timberwolves
Karl-Anthony,Towns,1626157,Minnesota,Timberwolves
Taurean,Prince,1627752,Minnesota,Timberwolves
Zach,Collins,1628380,San Antonio,Spurs
Keita,Bates-Diop,1628966,San Antonio,Spurs
Jordan,McLaughlin,1629162,Minnesota,Timberwolves
Nickeil,Alexander-Walker,1629638,Minnesota,Timberwolves
Keldon,Johnson,1629640,San Antonio,Spurs
Romeo,Langford,1629641,San Antonio,Spurs
Anthony,Edwards,1630162,Minnesota,Timberwolves
Jaden,McDaniels,1630183,Minnesota,Timberwolves
Tre,Jones,1630200,San Antonio,Spurs
Nathan,Knight,1630233,Minnesota,Timberwolves
Matt,Ryan,1630346,Minnesota,Timberwolves
Luka,Garza,1630568,Minnesota,Timberwolves
Sandro,Mamukelashvili,1630572,San Antonio,Spurs
Julian,Champagnie,1630577,San Antonio,Spurs
Malaki,Branham,1631103,San Antonio,Spurs
Blake,Wesley,1631104,San Antonio,Spurs
Wendell,Moore Jr.,1631111,Minnesota,Timberwolves
Josh,Minott,1631169,Minnesota,Timberwolves
Dominick,Barlow,1631230,San Antonio,Spurs
Russell,Westbrook,201566,Los Angeles,Clippers
Eric,Gordon,201569,Los Angeles,Clippers
Nicolas,Batum,201587,Los Angeles,Clippers
Kawhi,Leonard,202695,Los Angeles,Clippers
Mason,Plumlee,203486,Los Angeles,Clippers
Robert,Covington,203496,Los Angeles,Clippers
Norman,Powell,1626181,Los Angeles,Clippers
Ivica,Zubac,1627826,Los Angeles,Clippers
Shaquille,Harrison,1627885,Portland,Trail Blazers
Kevin,Knox II,1628995,Portland,Trail Blazers
Drew,Eubanks,1629234,Portland,Trail Blazers
Amir,Coffey,1629599,Los Angeles,Clippers
Terance,Mann,1629611,Los Angeles,Clippers
Cam,Reddish,1629629,Portland,Trail Blazers
Xavier,Moon,1629875,Los Angeles,Clippers
Skylar,Mays,1630219,Portland,Trail Blazers
Brandon,Boston Jr.,1630527,Los Angeles,Clippers
Bones,Hyland,1630538,Los Angeles,Clippers
Jason,Preston,1630554,Los Angeles,Clippers
Trendon,Watford,1630570,Portland,Trail Blazers
Shaedon,Sharpe,1631101,Portland,Trail Blazers
Jabari,Walker,1631133,Portland,Trail Blazers
Moussa,Diabate,1631217,Los Angeles,Clippers
John,Butler Jr.,1631219,Portland,Trail Blazers
Justin,Minaya,1631303,Portland,Trail Blazers
Nate,Williams,1631466,Portland,Trail Blazers
Jeff,Green,201145,Denver,Nuggets
DeAndre,Jordan,201599,Denver,Nuggets
Ish,Smith,202397,Denver,Nuggets
Reggie,Jackson,202704,Denver,Nuggets
Kentavious,Caldwell-Pope,203484,Denver,Nuggets
Aaron,Gordon,203932,Denver,Nuggets
Nikola,Jokic,203999,Denver,Nuggets
Kris,Dunn,1627739,Utah,Jazz
Damian,Jones,1627745,Utah,Jazz
Jamal,Murray,1627750,Denver,Nuggets
Thomas,Bryant,1628418,Denver,Nuggets
Vlatko,Cancar,1628427,Denver,Nuggets
Udoka,Azubuike,1628962,Utah,Jazz
Michael,Porter Jr.,1629008,Denver,Nuggets
Collin,Sexton,1629012,Utah,Jazz
Juan,Toscano-Anderson,1629308,Utah,Jazz
Talen,Horton-Tucker,1629659,Utah,Jazz
Luka,Samanic,1629677,Utah,Jazz
Zeke,Nnaji,1630192,Denver,Nuggets
Ochai,Agbaji,1630534,Utah,Jazz
Johnny,Juzang,1630548,Utah,Jazz
Micah,Potter,1630695,Utah,Jazz
Christian,Braun,1631128,Denver,Nuggets
Peyton,Watson,1631212,Denver,Nuggets
Jack,White,1631298,Denver,Nuggets
Simone,Fontecchio,1631323,Utah,Jazz
LeBron,James,2544,Los Angeles,Lakers
Bismack,Biyombo,202687,Phoenix,Suns
Anthony,Davis,203076,Los Angeles,Lakers
Terrence,Ross,203082,Phoenix,Suns
Dennis,Schroder,203471,Los Angeles,Lakers
D'Angelo,Russell,1626156,Los Angeles,Lakers
Cameron,Payne,1626166,Phoenix,Suns
Malik,Beasley,1627736,Los Angeles,Lakers
Damion,Lee,1627814,Phoenix,Suns
Davon,Reed,1628432,Los Angeles,Lakers
Torrey,Craig,1628470,Phoenix,Suns
Mo,Bamba,1628964,Los Angeles,Lakers
Troy,Brown Jr.,1628972,Los Angeles,Lakers
Josh,Okogie,1629006,Phoenix,Suns
Landry,Shamet,1629013,Phoenix,Suns
Jarred,Vanderbilt,1629020,Los Angeles,Lakers
Lonnie,Walker IV,1629022,Los Angeles,Lakers
Rui,Hachimura,1629060,Los Angeles,Lakers
Jock,Landale,1629111,Phoenix,Suns
Wenyen,Gabriel,1629117,Los Angeles,Lakers
Darius,Bazley,1629647,Phoenix,Suns
Saben,Lee,1630240,Phoenix,Suns
Austin,Reaves,1630559,Los Angeles,Lakers
Ish,Wainright,1630688,Phoenix,Suns
Max,Christie,1631108,Los Angeles,Lakers
Stephen,Curry,201939,Golden State,Warriors
Klay,Thompson,202691,Golden State,Warriors
Harrison,Barnes,203084,Sacramento,Kings
Draymond,Green,203110,Golden State,Warriors
JaMychal,Green,203210,Golden State,Warriors
Alex,Len,203458,Sacramento,Kings
Richaun,Holmes,1626158,Sacramento,Kings
Trey,Lyles,1626168,Sacramento,Kings
Kevon,Looney,1626172,Golden State,Warriors
Gary,Payton II,1627780,Golden State,Warriors
Malik,Monk,1628370,Sacramento,Kings
PJ,Dozier,1628408,Sacramento,Kings
Donte,DiVincenzo,1628978,Golden State,Warriors
Chimezie,Metu,1629002,Sacramento,Kings
Terence,Davis,1629056,Sacramento,Kings
Jordan,Poole,1629673,Golden State,Warriors
Neemias,Queta,1629674,Sacramento,Kings
Jonathan,Kuminga,1630228,Golden State,Warriors
Anthony,Lamb,1630237,Golden State,Warriors
Moses,Moody,1630541,Golden State,Warriors
Kessler,Edwards,1630556,Sacramento,Kings
Davion,Mitchell,1630558,Sacramento,Kings
Keegan,Murray,1631099,Sacramento,Kings
Patrick,Baldwin Jr.,1631116,Golden State,Warriors
Keon,Ellis,1631165,Sacramento,Kings
Lester,Quinones,1631311,Golden State,Warriors
JaVale,McGee,201580,Dallas,Mavericks
Markieff,Morris,202693,Dallas,Mavericks
Nikola,Vucevic,202696,Chicago,Bulls
Davis,Bertans,202722,Dallas,Mavericks
Andre,Drummond,203083,Chicago,Bulls
Justin,Holiday,203200,Dallas,Mavericks
Reggie,Bullock,203493,Dallas,Mavericks
Dwight,Powell,203939,Dallas,Mavericks
